player_id,full_name,position_group,position_code,gp,cluster
8471215,Evgeni Malkin,Centers,C,68,0
8471675,Sidney Crosby,Centers,C,80,0
8471685,Anze Kopitar,Centers,C,81,1
8473419,Brad Marchand,Centers,C,71,0
8473453,Trevor Lewis,Centers,C,60,0
8473533,Jordan Staal,Centers,C,75,0
8474150,Mikael Backlund,Centers,C,76,1
8474189,Lars Eller,Centers,C,80,0
8474564,Steven Stamkos,Centers,C,82,0
8474641,Adam Henrique,Centers,C,81,0
8474679,Gustav Nyquist,Centers,C,79,0
8475151,Kyle Palmieri,Centers,C,82,0
8475158,Ryan O'Reilly,Centers,C,79,0
8475166,John Tavares,Centers,C,75,0
8475168,Matt Duchene,Centers,C,82,0
8475170,Brayden Schenn,Centers,C,82,0
8475172,Nazem Kadri,Centers,C,82,0
8475184,Chris Kreider,Centers,C,68,0
8475225,Craig Smith,Centers,C,59,0
8475231,Casey Cizikas,Centers,C,82,0
8475343,Nic Dowd,Centers,C,82,0
8475413,Justin Dowling,Centers,C,52,0
8475726,Tyler Toffoli,Centers,C,78,0
8475745,Charlie Coyle,Centers,C,83,0
8475754,Brock Nelson,Centers,C,80,0
8475760,Nick Bjugstad,Centers,C,66,0
8475768,Jaden Schwartz,Centers,C,81,0
8475784,Jeff Skinner,Centers,C,72,0
8475794,Tyler Seguin,Centers,C,20,0
8475798,Mikael Granlund,Centers,C,83,0
8475842,Sam Carrick,Centers,C,80,0
8476278,Colin Blackwell,Centers,C,63,1
8476374,Sean Kuraly,Centers,C,82,0
8476389,Vincent Trocheck,Centers,C,82,0
8476392,Adam Lowry,Centers,C,73,0
8476393,Nick Cousins,Centers,C,50,0
8476419,Jean-Gabriel Pageau,Centers,C,79,0
8476432,Boone Jenner,Centers,C,26,0
8476448,William Karlsson,Centers,C,53,0
8476454,Ryan Nugent-Hopkins,Centers,C,78,0
8476458,Ryan Strome,Centers,C,82,0
8476459,Mika Zibanejad,Centers,C,82,0
8476460,Mark Scheifele,Centers,C,82,0
8476461,Sean Couturier,Centers,C,79,0
8476479,Phillip Danault,Centers,C,80,0
8476480,Vladislav Namestnikov,Centers,C,78,0
8476539,Jonathan Marchessault,Centers,C,78,0
8476822,Luke Glendening,Centers,C,77,0
8476826,Yanni Gourde,Centers,C,57,0
8476873,Mark Jankowski,Centers,C,60,1
8476878,Zemgus Girgensons,Centers,C,82,0
8476881,Tomas Hertl,Centers,C,73,0
8476882,Teuvo Teravainen,Centers,C,82,0
8476889,Radek Faksa,Centers,C,70,0
8476897,Oskar Sundqvist,Centers,C,67,0
8476905,Chandler Stephenson,Centers,C,78,0
8476913,Devin Shore,Centers,C,55,0
8476925,Colton Sissons,Centers,C,72,0
8476927,Teddy Blueger,Centers,C,82,0
8476994,Vinnie Hinostroza,Centers,C,38,0
8477021,Alexander Kerfoot,Centers,C,81,0
8477070,Liam O'Brien,Centers,C,28,0
8477353,Tyler Motte,Centers,C,55,0
8477380,Jonny Brodzinski,Centers,C,51,0
8477401,John Hayden,Centers,C,20,0
8477404,Jake Guentzel,Centers,C,80,0
8477406,Mattias Janmark,Centers,C,80,0
8477409,Carter Verhaeghe,Centers,C,81,0
8477429,Andrew Copp,Centers,C,56,0
8477450,Jason Dickinson,Centers,C,59,0
8477492,Nathan MacKinnon,Centers,C,79,0
8477493,Aleksander Barkov,Centers,C,67,1
8477496,Elias Lindholm,Centers,C,82,0
8477497,Sean Monahan,Centers,C,54,0
8477500,Bo Horvat,Centers,C,81,0
8477503,Max Domi,Centers,C,74,0
8477505,Alexander Wennberg,Centers,C,77,0
8477508,Curtis Lazar,Centers,C,48,0
8477919,Frederick Gaudreau,Centers,C,82,0
8477933,Sam Reinhart,Centers,C,79,0
8477934,Leon Draisaitl,Centers,C,71,0
8477935,Sam Bennett,Centers,C,76,0
8477946,Dylan Larkin,Centers,C,82,0
8477951,Nick Schmaltz,Centers,C,82,0
8477952,Robby Fabbri,Centers,C,44,0
8477964,Ivan Barbashev,Centers,C,70,1
8477987,Ryan Donato,Centers,C,80,1
8477989,Christian Dvorak,Centers,C,82,0
8477993,Justin Kirkland,Centers,C,21,0
8478010,Brayden Point,Centers,C,77,0
8478043,Sam Lafferty,Centers,C,60,0
8478057,Dakota Joshua,Centers,C,57,1
8478133,Jake Evans,Centers,C,82,0
8478146,Matthew Highmore,Centers,C,41,0
8478401,Pavel Zacha,Centers,C,82,0
8478402,Connor McDavid,Centers,C,67,0
8478403,Jack Eichel,Centers,C,77,0
8478424,Jansen Harkins,Centers,C,62,0
8478427,Sebastian Aho,Centers,C,79,0
8478438,Tommy Novak,Centers,C,54,0
8478440,Dylan Strome,Centers,C,82,1
8478445,Mathew Barzal,Centers,C,30,0
8478449,Roope Hintz,Centers,C,76,0
8478458,Jack Roslovic,Centers,C,81,0
8478462,Nicolas Roy,Centers,C,71,0
8478493,Joel Eriksson Ek,Centers,C,46,0
8478508,Yakov Trenin,Centers,C,76,0
8478519,Anthony Cirelli,Centers,C,80,1
8478542,Evan Rodrigues,Centers,C,82,0
8478569,Noel Acciari,Centers,C,79,0
8478585,Derek Ryan,Centers,C,36,0
8478831,Kevin Stenlund,Centers,C,82,0
8478891,Mason Appleton,Centers,C,71,0
8478904,Steven Lorentz,Centers,C,80,0
8479291,Kevin Rooney,Centers,C,70,0
8479316,Luke Kunin,Centers,C,75,0
8479318,Auston Matthews,Centers,C,67,0
8479343,Clayton Keller,Centers,C,81,1
8479351,Sam Steel,Centers,C,79,0
8479353,Brett Howden,Centers,C,80,0
8479365,Trent Frederic,Centers,C,58,0
8479370,Tyson Jost,Centers,C,39,0
8479393,Noah Gregor,Centers,C,52,0
8479420,Tage Thompson,Centers,C,76,0
8479525,Ross Colton,Centers,C,61,0
8479591,Michael Eyssimont,Centers,C,77,0
8479944,Zachary Aston-Reese,Centers,C,79,0
8479968,Vinni Lettieri,Centers,C,26,0
8479987,Morgan Geekie,Centers,C,77,1
8479992,Michael Rasmussen,Centers,C,77,0
8479996,Cody Glass,Centers,C,65,1
8479999,Casey Mittelstadt,Centers,C,81,0
8480002,Nico Hischier,Centers,C,75,0
8480003,Jesper Boqvist,Centers,C,78,0
8480011,Klim Kostin,Centers,C,35,1
8480012,Elias Pettersson,Centers,C,64,0
8480014,Gabriel Vilardi,Centers,C,71,0
8480018,Nick Suzuki,Centers,C,82,1
8480023,Robert Thomas,Centers,C,70,0
8480028,Morgan Frost,Centers,C,81,0
8480039,Martin Necas,Centers,C,79,0
8480064,Josh Norris,Centers,C,56,0
8480068,Ryan Poehling,Centers,C,68,0
8480078,Filip Chytil,Centers,C,56,2
8480144,David Kampf,Centers,C,59,0
8480185,Eetu Luostarinen,Centers,C,80,0
8480259,Ben Jones,Centers,C,26,0
8480289,Morgan Barron,Centers,C,74,0
8480355,Mark Kastelic,Centers,C,61,0
8480448,Parker Kelly,Centers,C,80,0
8480459,Pius Suter,Centers,C,81,0
8480798,Philipp Kurashev,Centers,C,51,0
8480802,Ryan McLeod,Centers,C,79,1
8480806,Isac Lundestrom,Centers,C,79,0
8480813,Joe Veleno,Centers,C,74,0
8480829,Jesperi Kotkaniemi,Centers,C,78,0
8480835,Jack Drury,Centers,C,72,1
8480840,Oskar Bäck,Centers,C,73,0
8480845,Rasmus Kupari,Centers,C,59,0
8480848,Ty Dellandrea,Centers,C,68,0
8480849,Barrett Hayton,Centers,C,82,0
8480851,Akil Thomas,Centers,C,25,0
8480855,Jack McBain,Centers,C,82,0
8480880,Jakub Lauko,Centers,C,56,0
8480980,Connor Dewar,Centers,C,48,0
8481019,David Gustafsson,Centers,C,36,0
8481024,Linus Karlsson,Centers,C,23,0
8481028,Martin Pospisil,Centers,C,81,0
8481032,Paul Cotter,Centers,C,79,1
8481068,Yegor Sharangovich,Centers,C,73,0
8481237,Kyle MacLean,Centers,C,81,0
8481477,Nico Sturm,Centers,C,62,1
8481481,Blake Lizotte,Centers,C,59,0
